time hours since 1900-01-01 00:00:00.0,u10 m s**-1,v10 m s**-1,msl Pa,Distance Weight,surge 
973104,2.609912761,7.16583503,101240.121,0.40302331,-0.16851
973104,2.669112375,5.162248884,101351.514,0.315545264,-0.16851
973104,3.869625473,6.744180471,101111.1269,0.306709763,-0.16851
973104,5.781910672,10.17557619,100861.3366,0.255047385,-0.16851
973104,5.183030858,10.42566096,100958.7452,0.228715459,-0.16851
973104,1.869229222,4.407632622,101500.7613,0.179782517,-0.16851
973104,2.951343092,7.773599187,101154.2857,0.102612387,-0.16851
973104,4.626829836,7.335950834,101180.3256,0.067415409,-0.16851
973104,1.629677296,4.787121725,101530.4179,0.056911339,-0.16851
973104,1.498887452,5.037206498,101467.9703,0.042484737,-0.16851
973104,6.565273003,10.54343344,100760.5524,0,-0.16851
973110,1.911908013,5.822356366,101058.5649,1,-0.18122
973110,3.708547454,9.227580424,100960.4329,0.925526537,-0.18122
973110,1.647574854,5.054654273,101136.2024,0.668373483,-0.18122
973110,1.281363289,4.747864231,101200.3378,0.654728369,-0.18122
973110,1.719165084,5.908141259,101115.708,0.624853823,-0.18122
973110,4.837470322,11.34457711,100854.1033,0.582631894,-0.18122
973110,1.224917146,4.542852877,101275.5642,0.46780441,-0.18122
973110,2.352463278,6.447568298,100910.0409,0.445078097,-0.18122
973110,4.091279841,9.944393175,100812.3912,0.424268478,-0.18122
973110,2.502527415,7.517698489,101021.4339,0.40302331,-0.18122
973110,1.812783078,4.942697717,101206.6067,0.315545264,-0.18122
973110,2.534192325,6.024459758,100984.3029,0.306709763,-0.18122
973110,5.309690497,12.28821093,100701.9626,0.255047385,-0.18122
973110,5.072892042,12.03812616,100749.7025,0.228715459,-0.18122
973110,1.187745296,4.481785665,101344.5218,0.179782517,-0.18122
973110,2.629187054,8.092021078,100923.3019,0.102612387,-0.18122
973110,3.369870594,6.592966422,101055.9127,0.067415409,-0.18122
973110,1.200135912,4.897624299,101339.4585,0.056911339,-0.18122
973110,1.110648124,5.060470198,101259.6509,0.042484737,-0.18122
973110,6.157759383,13.76690985,100584.7829,0,-0.18122
973116,0.777478205,5.858705897,100926.6775,1,-0.24049
973116,1.567724212,8.910612515,100820.5889,0.925526537,-0.24049
973116,0.74443656,5.476308832,101010.5839,0.668373483,-0.24049
973116,0.615023451,5.410879676,101046.5093,0.654728369,-0.24049
973116,0.737552884,6.302170174,100956.3341,0.624853823,-0.24049
973116,2.307031017,10.77752442,100706.3026,0.582631894,-0.24049
973116,0.591618952,5.160794903,101126.558,0.46780441,-0.24049
973116,1.088620361,6.755812321,100799.8534,0.445078097,-0.24049
973116,2.167980761,10.5855989,100689.9071,0.424268478,-0.24049
973116,1.158833856,7.7416116,100856.2732,0.40302331,-0.24049
973116,0.807766379,5.416695601,101090.1503,0.315545264,-0.24049
973116,1.362590666,6.757266302,100886.8943,0.306709763,-0.24049
973116,3.802165448,13.9253938,100554.8853,0.255047385,-0.24049
973116,2.743456076,11.77786352,100592.9807,0.228715459,-0.24049
973116,0.447061756,4.964507436,101199.6144,0.179782517,-0.24049
973116,1.3873719,8.568926924,100751.3902,0.102612387,-0.24049
973116,1.887126779,7.485710902,100977.5518,0.067415409,-0.24049
973116,0.682483476,5.332364689,101160.7957,0.056911339,-0.24049
973116,0.466336049,5.614437049,101074.9604,0.042484737,-0.24049
973116,4.820949499,15.4448042,100421.5512,0,-0.24049
973122,-1.185746196,5.771467023,100531.0153,1,-0.41014
973122,-1.155458022,8.762306428,100409.0135,0.925526537,-0.41014
973122,-1.24494581,5.317824877,100637.345,0.668373483,-0.41014
973122,-1.118286171,5.137531203,100606.724,0.654728369,-0.41014
973122,-1.105895555,6.136416313,100490.0266,0.624853823,-0.41014
973122,-0.863590159,10.71645721,100281.9483,0.582631894,-0.41014
973122,-1.108649025,5.114267503,100715.4648,0.46780441,-0.41014
973122,-0.83743219,6.526083285,100456.2711,0.445078097,-0.41014
973122,-0.807144015,9.823712732,100335.4748,0.424268478,-0.41014
973122,-1.049449411,7.335950834,100369.9536,0.40302331,-0.41014
973122,-1.393633212,5.742387398,100734.7536,0.315545264,-0.41014
973122,-0.964091829,6.918658219,100554.403,0.306709763,-0.41014
973122,-0.392746719,12.20678798,100201.8996,0.255047385,-0.41014
973122,-0.597880264,11.49433717,100160.4286,0.228715459,-0.41014
973122,-1.305522159,5.185512584,100819.1422,0.179782517,-0.41014
973122,-1.002640414,7.818672605,100249.8806,0.102612387,-0.41014
973122,-1.152704552,8.34065187,100647.4716,0.067415409,-0.41014
973122,-0.537303915,5.755473229,100698.8282,0.056911339,-0.41014
